t01,exxEng01SOI,exxEng01AVG,StressEng01SOI,eyyEng01SOI,eyyEng01AVG,exyEng01SOI,exyEng01AVG,t02,exxEng02SOI,exxEng02AVG,StressEng02SOI,eyyEng02SOI,eyyEng02AVG,exyEng02SOI,exyEng02AVG,t03,exxEng03SOI,exxEng03AVG,StressEng03SOI,eyyEng03SOI,eyyEng03AVG,exyEng03SOI,exyEng03AVG,t04,exxEng04SOI,exxEng04AVG,StressEng04SOI,eyyEng04SOI,eyyEng04AVG,exyEng04SOI,exyEng04AVG,t05,exxEng05SOI,exxEng05AVG,StressEng05SOI,eyyEng05SOI,eyyEng05AVG,exyEng05SOI,exyEng05AVG,t06,exxEng06SOI,exxEng06AVG,StressEng06SOI,eyyEng06SOI,eyyEng06AVG,exyEng06SOI,exyEng06AVG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33234949,0.00034281496,0.00033946643,0.39454167,-0.00014651322,-0.00015159394,-2.719963e-05,-1.609987e-05,0.35420183,0.00029400735,0.00030944565,0.395875,-0.00013056037,-0.00012884988,4.5370829e-05,2.0058801e-05,0.48861454,0.000440638,0.00043434456,0.54075,-0.00020284305,-0.00019366704,0.00041937491,8.5370644e-05,0.3668686,0.00037444504,0.0003707221,0.45625,-0.00014752157,-0.00014458708,2.569673e-05,8.4073453e-06,0.37178841,0.00038215089,0.00037368682,0.43479167,-0.00015463854,-0.00015459215,0.00015193654,2.9965849e-05,0.37574791,0.0004102675,0.00037086772,0.47504167,-0.00017720161,-0.00013646833,1.3679794e-05,4.8312167e-05
0.33234949,0.00033115729,0.00032792263,0.381125,-0.00014153093,-0.00014643888,-1.4199899e-05,-8.8799606e-06,0.35420183,0.00029400735,0.00030944565,0.395875,-0.00013056037,-0.00012884988,-1.1486634e-05,1.2881283e-05,0.49108632,0.00043846503,0.00043220262,0.53808333,-0.00020184275,-0.00019271199,0.00043121195,8.3476384e-05,0.3691056,0.00036784523,0.00036418792,0.44820833,-0.00014492142,-0.00014203865,1.1391965e-05,6.3723103e-06,0.37761457,0.00037625474,0.00036792126,0.42808333,-0.00015225265,-0.00015220697,0.00016268123,2.6206243e-05,0.3889506,0.00042995142,0.0003886613,0.49783333,-0.00018570343,-0.00014301584,0.00010855089,5.3361024e-05
0.34404912,0.00035096084,0.00034753274,0.40391667,-0.00014999463,-0.00015519608,-4.8298834e-05,-1.2999916e-05,0.35662506,0.00029601877,0.00031156268,0.39858333,-0.00013145358,-0.00012973139,4.1898378e-05,5.3577635e-05,0.49352008,0.00043625811,0.00043002722,0.535375,-0.00020082681,-0.00019174201,0.00041932789,8.9143573e-05,0.37020689,0.00036784523,0.00036418792,0.44820833,-0.00014492142,-0.00014203865,-9.3630262e-06,-2.9945455e-06,0.37877256,0.0003833228,0.00037483277,0.436125,-0.00015511276,-0.00015506622,0.00016832016,3.6169454e-05,0.3900423,0.000433406,0.00039178412,0.50183333,-0.00018719553,-0.00014416494,5.1784441e-05,4.4767702e-05
0.35222433,0.00033115729,0.00032792263,0.381125,-0.00014153093,-0.00014643888,-1.8099836e-05,3.5800064e-06,0.35901101,0.00029799924,0.00031364715,0.40125,-0.00013233305,-0.00013059934,3.7991222e-05,2.4209793e-05,0.55839488,0.00049856129,0.00049144056,0.61183333,-0.00022950743,-0.0002191252,0.00039104344,9.198213e-05,0.37020689,0.00037553931,0.00037180549,0.45758333,-0.00014795268,-0.00014500962,3.733147e-06,4.2564009e-07,0.47079689,0.00047645262,0.0004658999,0.54208333,-0.00019279803,-0.00019274018,0.00016832316,4.2927721e-05,0.40761177,0.00044153866,0.00039913577,0.51125,-0.00019070816,-0.00014687013,4.4097672e-05,8.2156775e-05
0.36159857,0.00036030145,0.00035678212,0.41466667,-0.00015398665,-0.00015932653,-2.8799585e-05,-2.7399625e-05,0.48263308,0.00040061248,0.0004216486,0.53941667,-0.0001779007,-0.00017557,-3.7125011e-05,3.5148118e-05,0.73959562,0.00066034586,0.00065091442,0.810375,-0.00030398324,-0.00029023196,0.0004164697,9.1373774e-05,0.37240948,0.00037003377,0.00036635469,0.450875,-0.00014578364,-0.00014288373,-1.1428135e-05,1.0057451e-05,0.68980248,0.00069808915,0.00068262751,0.79425,-0.00028248393,-0.00028239918,0.00016737501,3.9701488e-05,0.41088686,0.00039634122,0.00035827884,0.45891667,-0.00017118661,-0.00013183599,6.2356544e-05,0.00010808884
0.54991905,0.00054794639,0.00054259419,0.630625,-0.00023418287,-0.00024230376,-4.0399184e-05,-9.99995e-06,0.61225731,0.00050820785,0.00053489378,0.68429167,-0.00022568076,-0.00022272409,-4.4320418e-05,6.2319742e-05,0.92723584,0.00080521903,0.00080409033,1.0330417,-0.00040386015,-0.00038336938,0.00037374382,6.449728e-05,0.37684907,0.00036675097,0.00036310453,0.446875,-0.0001444903,-0.00014161611,-2.3627221e-05,-8.123177e-06,0.90059672,0.00092010715,0.00089687537,1.0263333,-0.00038183789,-0.00037973124,0.00016538667,4.4458588e-05,0.41859696,0.00041141903,0.00037190866,0.476375,-0.00017769898,-0.00013685136,0.00017746875,9.7081012e-05
0.74641473,0.00074373721,0.00073647258,0.85595833,-0.0003178605,-0.00032888312,9.6100462e-06,-5.7099837e-06,0.76346693,0.00063372031,0.00066699688,0.85329167,-0.0002814173,-0.00027773042,-3.8384363e-05,0.0001280332,1.1285358,0.0010658621,0.001036064,1.23825,-0.00048555624,-0.00044882277,0.00040956485,8.112339e-05,0.37795037,0.00036452823,0.00036090389,0.44416667,-0.0001436146,-0.00014075784,2.2020442e-05,1.5224016e-05,1.1019967,0.0011117931,0.0010909528,1.2650833,-0.0004513776,-0.00044890981,0.00016790309,4.4754201e-05,0.56807912,0.00059168036,0.00060130251,1.2275417,-0.00043805544,-0.00015719299,3.6628171e-05,9.0522297e-05
0.95463577,0.00097727451,0.0009359427,1.089375,-0.0004099368,-0.00043011429,-1.8599827e-05,2.7500038e-06,0.86319923,0.00076375716,0.00079992677,1.0155833,-0.00032011077,-0.00035417154,2.1177524e-05,0.00017079658,1.3298358,0.001165816,0.0011634873,1.4515417,-0.00054766099,-0.00052532959,0.00041233799,7.9476658e-05,0.43446052,0.00043168897,0.00042739688,0.526,-0.00017007418,-0.00016669108,3.1277289e-05,8.2056137e-06,1.3032967,0.0013114345,0.0012881828,1.5052083,-0.00053082636,-0.00053087303,0.00014435942,4.6063461e-05,0.77882232,0.0008215066,0.00074261373,0.95120833,-0.00035482287,-0.00027325984,0.00021784472,8.7879861e-05
1.1559358,0.0011525258,0.0011365854,1.3200833,-0.000460837,-0.0004816761,-2.5199682e-05,-2.1399771e-05,1.0644992,0.00090282484,0.0009481888,1.2047083,-0.00039287239,-0.00038107174,0.00014060788,0.00022903422,1.5311358,0.0013400922,0.0013209799,1.6688333,-0.00063338989,-0.00058678551,0.00037704106,8.1340708e-05,0.60839616,0.00060451502,0.0005985046,0.73658333,-0.00023816313,-0.00023342561,-9.2469572e-06,-1.4029102e-05,1.5045967,0.0015225096,0.0014827755,1.742625,-0.00061511088,-0.00060349638,0.00018073733,5.1945349e-05,0.97807912,0.00097924233,0.00091697082,1.118875,-0.00050422723,-0.00030555707,0.00016541568,9.7082712e-05
