t,TMean01,TMean02,TMean03,TMean04,TMean05,TMean06
1,21.45,21.65,21.8,21.6,23.35,23.35
2,21.45,21.65,21.85,21.6,23.35,23.35
3,21.45,21.65,21.8,21.6,23.35,23.35
4,21.45,21.65,21.8,21.6,23.35,23.35
5,21.45,21.65,21.8,21.6,23.35,23.35
6,21.5,21.65,21.8,21.65,23.4,23.4
7,21.5,21.65,21.8,21.65,23.4,23.4
8,21.5,21.65,21.8,21.65,23.35,23.35
9,21.5,21.65,21.8,21.6,23.35,23.35
10,21.5,21.7,21.8,21.6,23.35,23.35
11,21.5,21.65,21.8,21.6,23.35,23.4
12,21.5,21.65,21.8,21.6,23.35,23.35
13,21.5,21.65,21.8,21.65,23.35,23.35
14,21.6,21.7,21.8,21.65,23.35,23.25
15,21.6,21.7,21.8,21.6,23.35,23.3
16,21.55,21.7,21.8,21.6,23.35,23.3
17,21.55,21.7,21.8,21.6,23.35,23.3
18,21.5,21.7,21.8,21.6,23.4,23.25
19,21.55,21.75,21.8,21.6,23.4,23.25
20,21.55,21.7,21.8,21.55,23.35,23.25
21,21.55,21.75,21.8,21.65,23.35,23.25
22,21.5,21.95,21.8,21.65,23.4,23.15
23,21.5,21.95,21.8,21.65,23.35,23.15
24,21.5,21.8,21.8,21.65,23.35,23.15
25,21.5,21.8,21.7,21.6,23.4,23.15
26,21.5,21.8,21.7,21.6,23.35,23.15
27,21.55,21.9,21.7,21.65,23.35,23.15
28,21.55,21.9,21.7,21.65,23.35,23.2
29,21.5,21.9,21.7,21.6,23.35,23.15
30,21.5,21.9,21.7,21.6,23.35,23.1
31,21.5,21.85,21.7,21.65,23.35,23.1
32,21.5,21.85,21.7,21.55,23.35,23.2
33,21.5,21.9,21.7,21.55,23.4,23.2
34,21.5,21.9,21.75,21.55,23.35,23.2
35,21.5,21.85,21.75,21.55,23.35,23.2
36,21.5,21.85,21.65,21.5,23.35,23.25
37,21.55,21.85,21.65,21.55,23.4,23.25
38,21.55,21.85,21.75,21.55,23.4,23.15
39,21.55,21.85,21.7,21.5,23.4,23.15
40,21.55,21.8,21.7,21.5,23.4,23.2
41,21.55,21.8,21.75,21.5,23.4,23.35
42,21.55,21.75,21.7,21.6,23.4,23.35
43,21.55,21.75,21.7,21.6,23.4,23.25
44,21.55,21.75,21.7,21.55,23.4,23.35
45,21.55,21.75,21.75,21.55,23.4,23.55
46,21.5,21.75,21.7,21.55,23.4,23.4
